year	imdbId	title	originalTitle	genre1	genre2	genre3	boxOffice	rank	category	winner
2013	454876	L'odyssée de Pi	Life of Pi	Adventure	Drama	Fantasy	134985984	27	Best Visual Effects	true
2013	848228	Avengers	The Avengers	Action	Adventure	Sci-Fi	673226542	1	Best Visual Effects	false
2013	1735898	Blanche-Neige et le chasseur	Snow White and the Huntsman	Action	Adventure	Drama	167758971	17	Best Visual Effects	false
2013	903624	Le Hobbit: Un Voyage Inattendu	The Hobbit: An Unexpected Journey	Adventure	Family	Fantasy	327243853	5	Best Visual Effects	false
2013	1446714	Prometheus	Prometheus	Adventure	Mystery	Sci-Fi	136595250	24	Best Visual Effects	false
2012	1655442	The Artist	The Artist	Comedy	Drama	Romance	49138850	71	Best Picture	true
2012	1568911	Cheval de guerre	War Horse	Drama	History	War	87873366	40	Best Picture	false
2012	477302	Extrêmement fort et incroyablement près	Extremely Loud & Incredibly Close	Adventure	Drama	Mystery	35032669	98	Best Picture	false
2012	970179	Hugo Cabret	Hugo	Adventure	Drama	Family	81250957	48	Best Picture	false
2012	1454029	La couleur des sentiments	The Help	Drama			186678923	13	Best Picture	false
2012	1210166	Le stratège	Moneyball	Biography	Drama	Sport	83166041	46	Best Picture	false
2012	1605783	Minuit à Paris	Midnight in Paris	Comedy	Fantasy	Romance	62498328	57	Best Picture	false
2012	1033575	The Descendants	The Descendants	Comedy	Drama		90842576	38	Best Picture	false
2012	478304	The tree of life - l'arbre de vie	The Tree of Life	Drama	Fantasy		14633650	132	Best Picture	false
2012	1655442	The Artist	The Artist	Comedy	Drama	Romance	49138850	71	Best Directing	true
2012	1033575	The Descendants	The Descendants	Comedy	Drama		90842576	38	Best Directing	false
2012	970179	Hugo Cabret	Hugo Cabret	Adventure	Drama	Family	81250957	48	Best Directing	false
2012	478304	The tree of life - l'arbre de vie	The tree of life - l'arbre de vie	Drama	Fantasy		14633650	132	Best Directing	false
2012	1605783	Minuit à Paris	Minuit à Paris	Comedy	Fantasy	Romance	62498328	57	Best Directing	false
